id,name,zipcode,categories,pickup,delivery,price_range,rating
LztkKM-lvRraBbS9TVXzcg,Yiwanmen,10013,"noodles, chinese",1,1,$,4
YqWIbTBOOnyIPJ67XbJfhg,Burly Coffee,11221,coffee & tea,0,1,$,4.5
s7maX59TbCDd4AuyRP_P-A,Cup,11222,coffee & tea,0,0,$,4
pQkzgYnGnNzdCWriyGlfdg,Dweebs,11237,cafes,1,1,$,4.5
NAKyofVbdyf5msnrLVchYg,Bittersweet,11205,"coffee & tea, donuts, cafes",0,1,$,4
nUk29UWKpe01xvHKJlWadw,Sander's Bakery,11211,"bakeries, kosher",0,0,$,4.5
HVKKciOXD4k9VWXqgM9hqw,Bedawi Cafe,11215,"middle eastern, halal",1,1,$,4
79bTSZd0QArz9xmninDdtQ,Trenta Tre Pizzeria,10016,"pizza, italian",1,1,$,4
V4kHBho4ZiNdbuztgn0LWQ,Cafe Grumpy,10002,"coffee & tea, cafes, bakeries",0,1,$,4
tc9OKGv_GutKsDO0BiZ3yA,Lady Moo Moo Ice Cream,11233,"ice cream & frozen yogurt, desserts",0,1,$,5
rehmlZmUNL2AthW-VTXJJQ,Tasty Thai,11385,thai,1,1,$,4
DnvW3-wKaY1foT1uBz-aIg,Tortas Neza,11368,"mexican, food stands, sandwiches",0,1,$,4.5
ZkzfvzknQN5qdslUWARIqQ,Cute Cat Cafe,11385,"breakfast & brunch, coffee & tea, juice bars & smoothies",1,1,$,4
ZoVVcwwbCxIhEmstLWrRvw,The Hummus & Pita,10007,"mediterranean, middle eastern",1,1,$,4
_cYuN0yD4aStZ0oXPaaRmQ,The Monro Pub,11215,pubs,1,1,$,4.5
02sUerL13Wt4Ii2-kDzlow,Rosa's Pizza,11378,pizza,0,0,$,4
3K7Kc82bhU6-qjAjsBs3Fw,Lao Bei Fang Dumpling House,11373,"chinese, noodles",0,0,$,4
RJ7WP7PaYz_-4X2XgXl5uA,Potbelly Sandwich Shop,10038,"sandwiches, fast food, salad",1,1,$,4
MIyMHjB_V-4XGl6SVfak0A,Moshe's Falafel,10036,"falafel, food trucks",1,1,$,4
ls3bzxgeffEZmZpEVijG-Q,Le Reveil Coffee,10021,"coffee & tea, breakfast & brunch, gelato",1,1,$,4
diW0VnV5sZQQpTamlVXjGg,Greek Xpress,11215,"mediterranean, greek, burgers",1,1,$,4
SitOGRGxe9po2PFZeQ78Cg,Vito's Italian Deli,7030,delis,1,1,$,4.5
jKCSGAMyS0KIcS-vKpEuaA,Sammy's Halal Food,10012,"food stands, middle eastern, halal",1,1,$,4
THR5b280MqaGi0XbMuVQXA,Cafe Joah,10009,"coffee & tea, cafes, korean",1,1,$,4
MTQpqHo-cCAPK7c9fd6zHw,Il Mattone,10013,"italian, pizza",1,1,$,4.5
WqyMKiHd6l2pyLPZJgAaXg,Muse Cafe & Tea,11215,cafes,1,1,$,4.5
OtqShhp-cOByPzzdTMZu6w,Knickerbocker Bagel,11237,"wraps, breakfast & brunch, bagels",1,1,$,4
SUYDozrIGzn9yY4yZ2ajvA,Ninth Street Espresso,10009,coffee & tea,0,1,$,4
asW_ljefQQam9zjc9ZQaMw,Oslo Coffee Roasters,10021,"coffee & tea, cafes",0,1,$,4.5
tg5QIQBRkedqFFQ-mf-k5A,Hibiscus Brew,11225,"cafes, juice bars & smoothies",1,1,$,4.5
rksFeEbHSX4AON99nLVbMA,Cibao Restaurant,10002,dominican,1,1,$,3.5
OfrEANElOBKw3qhS00-dFQ,Pig Pig Cafe,11209,bubble tea,1,1,$,5
dn8_HgoGUE4IFzwPI6GeLA,Kai Feng Fu 開封府鍋貼,11220,chinese,0,1,$,4
7gH6Gcf8tnLlctw9kzKNHw,Bridge and Tunnel Brewery,11385,"breweries, beer bar",0,0,$,4.5
fowyb5DnUydqFodInCQyQQ,Centro Pizza Bar & Italian Kitchen,11101,"pizza, italian, salad",1,1,$,4
wGcquMur1HYWhc4baXB27A,Juicy Lucy Juice Bar,10009,"coffee & tea, juice bars & smoothies, vegan",0,1,$,4
j8qdGKAOq6Jz9B3pZsBqDw,Manon Café,10271,"coffee & tea, belgian",0,1,$,4.5
N-M-c8yQFqGW1jn_tdCzPg,Sam's Falafel,10006,"falafel, food trucks",0,0,$,4.5
s_bkOOVmBwkNueITXriXmw,Mixtape Bushwick,11237,"coffee & tea, bagels, sandwiches",0,1,$,4.5
jW1zRsnPs8LB-_ORcgA4mw,Le Café Coffee,10022,"sandwiches, cafes, donuts",1,1,$,4.5
